time,haccel_trapz_int1,haccel_trapz_int2,haccel_peak_int3,haccel_peak_int4,vaccel_trapz_int1,vaccel_trapz_int2,vaccel_peak_int3,vaccel_peak_int4
820,4.4351780924870406e-05,1.7831715595918987e-05,0.148,0.352,3.2349838395741325e-05,3.868322353828473e-05,0.2,0.38
830,4.9713584104285945e-05,1.702079739009589e-05,0.14400000000000002,0.404,3.2495878151261234e-05,3.843807033281012e-05,0.22,0.384
840,4.4901505008650724e-05,1.7187175338872236e-05,0.14400000000000002,0.40800000000000003,3.2988344828751656e-05,4.031044470726262e-05,0.192,0.368
850,4.693284357408883e-05,1.594918438500447e-05,0.148,0.40800000000000003,3.20650864614467e-05,3.8159999004238964e-05,0.196,0.372
860,4.5834955467356894e-05,1.8508034718174133e-05,0.14400000000000002,0.41200000000000003,3.364368581112281e-05,3.820415522481205e-05,0.192,0.372
870,4.9325344406571146e-05,1.6795044359629486e-05,0.14400000000000002,0.41200000000000003,3.1703324676047106e-05,3.852875380082774e-05,0.192,0.404
880,4.610393932863343e-05,1.825911476072949e-05,0.148,0.40800000000000003,3.280433768347991e-05,3.719413542046026e-05,0.192,0.372
890,4.5209157941197264e-05,1.637685269413546e-05,0.076,0.41200000000000003,3.249199789959334e-05,3.7996565774125615e-05,0.2,0.372
900,4.880014357889852e-05,1.6913515711310396e-05,0.152,0.41200000000000003,3.1998883160866305e-05,3.881739935387238e-05,0.196,0.372
910,4.5581054931845506e-05,1.6220236111229927e-05,0.148,0.4,3.4039224450645946e-05,4.018163770570596e-05,0.196,0.364
920,4.3509190650648866e-05,1.6509112013358828e-05,0.076,0.40800000000000003,3.212197201681568e-05,4.034144359614133e-05,0.196,0.36
930,4.6607538268084845e-05,1.7098450030569482e-05,0.14400000000000002,0.34800000000000003,3.0189469981067178e-05,4.133792483405137e-05,0.196,0.368
940,4.6753846709852884e-05,1.574883767861906e-05,0.148,0.41200000000000003,3.314587769614976e-05,3.744421518492373e-05,0.188,0.396
950,4.7320181381143856e-05,1.710782297857412e-05,0.148,0.41600000000000004,3.1482003822809976e-05,4.0438956943512e-05,0.196,0.376
960,4.538955050366384e-05,1.7091917555773243e-05,0.148,0.404,3.098403732988665e-05,4.143400928026412e-05,0.192,0.368
970,3.989813701043522e-05,1.7777574889598677e-05,0.14400000000000002,0.41200000000000003,3.43018326051828e-05,4.012494214627885e-05,0.196,0.364
980,4.439704431015807e-05,1.753219317701036e-05,0.148,0.40800000000000003,3.4359501612060835e-05,4.026646699107196e-05,0.196,0.364
990,4.722719145396458e-05,1.6925311711399288e-05,0.14400000000000002,0.41600000000000004,2.972094002449279e-05,3.976172446053476e-05,0.188,0.36
1000,4.5415864082977016e-05,1.643171841812426e-05,0.148,0.41200000000000003,3.198626187311778e-05,3.856739848983648e-05,0.212,0.396
1010,4.5798016001631204e-05,1.6208746636516714e-05,0.076,0.41200000000000003,2.9922534536959223e-05,4.120425472762996e-05,0.20400000000000001,0.384
1020,4.2915974728096256e-05,1.6931169024593134e-05,0.07200000000000001,0.40800000000000003,3.188177690069657e-05,3.952771324108662e-05,0.196,0.42
1030,4.492749642553596e-05,1.6597499162518194e-05,0.14400000000000002,0.41200000000000003,3.431082207430156e-05,3.993538297762531e-05,0.188,0.368
1040,4.917494885402848e-05,1.84397868709719e-05,0.152,0.404,2.9917173685272922e-05,3.938242821351941e-05,0.196,0.368
1050,4.358622171842545e-05,1.7056975058988185e-05,0.148,0.352,3.128690531958385e-05,4.063518595716339e-05,0.212,0.364
1060,4.359690956375323e-05,1.717550074816381e-05,0.14400000000000002,0.396,3.135182783625402e-05,3.9422467446587836e-05,0.196,0.38
1070,4.584303605333107e-05,1.6165218301762387e-05,0.148,0.404,3.403285390731274e-05,3.8929281620479465e-05,0.188,0.368
1080,4.842110847977492e-05,1.686869260730054e-05,0.152,0.41200000000000003,3.223206587098446e-05,3.9501050046104054e-05,0.188,0.376
1090,4.290903346309534e-05,1.706454467704942e-05,0.076,0.40800000000000003,3.041192901702109e-05,4.332495635637504e-05,0.212,0.388
1100,4.6623495788879485e-05,1.7046149806776907e-05,0.07200000000000001,0.4,3.1121007256390336e-05,3.7260576804509286e-05,0.192,0.372
1110,4.422680229887097e-05,1.7057266690339672e-05,0.148,0.41600000000000004,3.140947974870738e-05,3.903612127196071e-05,0.196,0.384
1120,4.834951331655027e-05,1.645746722862494e-05,0.14400000000000002,0.41200000000000003,3.095792955290845e-05,3.829448533965231e-05,0.196,0.384
1130,4.5651481757713814e-05,1.7071015455712807e-05,0.14400000000000002,0.4,3.159404080598057e-05,3.9371214397600205e-05,0.20800000000000002,0.368
1140,4.44178382263124e-05,1.705709689957633e-05,0.076,0.34800000000000003,3.1177116833339075e-05,3.7915446536014855e-05,0.184,0.364
1150,4.660100187274064e-05,1.5910550864303583e-05,0.14400000000000002,0.396,3.048838467908446e-05,4.0035305499803655e-05,0.22,0.372
1160,4.366772144178523e-05,1.980669822030219e-05,0.14400000000000002,0.404,3.17939064083613e-05,3.6418302499809757e-05,0.22,0.396
1170,4.5246721938691425e-05,1.5961737528164007e-05,0.076,0.40800000000000003,3.256213719218911e-05,3.8304213987438207e-05,0.188,0.376
1180,4.5780732221748836e-05,1.728316045720219e-05,0.14400000000000002,0.4,3.3074872644630366e-05,3.84131599007002e-05,0.196,0.372
1190,4.8485287008289985e-05,1.7296916090366514e-05,0.14400000000000002,0.396,3.209087404545453e-05,3.7697382063747185e-05,0.22,0.384
1200,4.906350496202455e-05,1.680978038537824e-05,0.148,0.404,3.203154198588803e-05,3.742448632133432e-05,0.196,0.368
1210,4.4581575024998834e-05,1.755040303951218e-05,0.14400000000000002,0.41600000000000004,3.1817198009868874e-05,3.834197532380593e-05,0.20400000000000001,0.38
1220,4.291412497065927e-05,1.6661960551075168e-05,0.148,0.404,3.1124650505218826e-05,3.977161196699481e-05,0.212,0.364
1230,4.2467551080939384e-05,1.659288467631057e-05,0.14400000000000002,0.404,3.112203101309687e-05,4.055701040497103e-05,0.188,0.364
1240,4.372842298076629e-05,1.705415460509131e-05,0.148,0.404,3.13593186669833e-05,3.651173834663069e-05,0.22,0.372
1250,4.6545513844529354e-05,1.7857872368829916e-05,0.148,0.404,3.012987856725519e-05,3.9126814830208275e-05,0.196,0.364
1260,4.471865736243257e-05,1.739140716779145e-05,0.14400000000000002,0.4,3.466392049047585e-05,4.0204329321455e-05,0.192,0.396
1270,4.617610219535e-05,1.8477877337085156e-05,0.14400000000000002,0.41200000000000003,2.762187930930131e-05,3.86689867916523e-05,0.188,0.38
1280,4.440551681766896e-05,1.7587248547027834e-05,0.07200000000000001,0.392,3.0670684967382174e-05,3.746115806063652e-05,0.192,0.368
1290,4.7264741700062553e-05,1.7683854951425695e-05,0.148,0.356,3.059228567979848e-05,3.75134648365576e-05,0.196,0.364
1300,4.6004924163976617e-05,1.7831517852307845e-05,0.14400000000000002,0.368,3.3946475925311554e-05,3.805993928068013e-05,0.192,0.368
1310,4.665904367204931e-05,1.7027871656460503e-05,0.136,0.40800000000000003,2.9930147319286178e-05,3.7703054266128986e-05,0.192,0.376
1320,4.545301524522801e-05,1.6393201446917453e-05,0.14400000000000002,0.34800000000000003,3.004876484108148e-05,3.5340089265509356e-05,0.188,0.372
1330,4.314127327201367e-05,1.836245634231121e-05,0.07200000000000001,0.41200000000000003,3.248625981450244e-05,3.6991829954131664e-05,0.192,0.364
1340,4.0824535135640784e-05,1.749463772321592e-05,0.076,0.356,3.2186506606881885e-05,3.800939111049728e-05,0.188,0.36
1350,4.5745286796271495e-05,1.8541091771241083e-05,0.076,0.396,3.3121987026268914e-05,3.744508030896648e-05,0.196,0.368
1360,4.5915346294539156e-05,1.748323102966297e-05,0.14,0.404,3.322995794792911e-05,3.816802110757583e-05,0.188,0.396
1370,4.465556208651783e-05,1.810926048723993e-05,0.148,0.40800000000000003,3.301998505373969e-05,3.77641586018722e-05,0.20400000000000001,0.364
1380,4.6728456178950914e-05,1.872443762759516e-05,0.14400000000000002,0.404,2.9283176203387714e-05,3.9759701600544816e-05,0.188,0.376
1390,4.409569083511763e-05,1.698726742835585e-05,0.07200000000000001,0.404,3.0383702969751335e-05,3.815027039947833e-05,0.188,0.376
1400,4.613596649405923e-05,1.792128565092155e-05,0.14,0.40800000000000003,3.279617641281111e-05,3.7172114667003556e-05,0.196,0.36
1410,4.6639237236961153e-05,1.7190886042252307e-05,0.07200000000000001,0.404,2.9716518484667013e-05,3.781274249887314e-05,0.192,0.364
1420,4.5696576120118386e-05,1.739787557126083e-05,0.14400000000000002,0.41600000000000004,3.019548965179914e-05,3.498962648136347e-05,0.196,0.396
1430,4.278364020858508e-05,1.68485542195748e-05,0.07200000000000001,0.4,2.9229215626690183e-05,3.773682361539533e-05,0.184,0.372
1440,4.474199607170064e-05,1.969975638135016e-05,0.07200000000000001,0.372,2.9305874345152383e-05,3.758371247555528e-05,0.188,0.372
1450,4.6251656236055434e-05,1.730474056751553e-05,0.14400000000000002,0.396,3.0561007850375915e-05,3.731650087441018e-05,0.196,0.364
1460,4.4943498479350374e-05,1.7463852033796705e-05,0.148,0.396,3.0771854894333324e-05,3.691388676490256e-05,0.192,0.364
1470,4.159272423479825e-05,1.7382639781177435e-05,0.076,0.34800000000000003,3.189951322578581e-05,3.663619488574156e-05,0.2,0.38
1480,4.474410174858181e-05,1.9204801861655652e-05,0.14400000000000002,0.40800000000000003,3.1244363375595084e-05,3.93425664183404e-05,0.196,0.372
1490,4.58574007167192e-05,1.7381874383448142e-05,0.14400000000000002,0.41600000000000004,2.9270008367853386e-05,4.093526354159702e-05,0.192,0.392
1500,4.4406487645433766e-05,1.7916646572793033e-05,0.152,0.34800000000000003,3.414769214919484e-05,3.822074002062011e-05,0.196,0.376
1510,4.289486874332328e-05,1.6524729417734397e-05,0.07200000000000001,0.404,2.945984695078072e-05,3.74465816816595e-05,0.188,0.404
1520,4.255410776136767e-05,1.7327406364893556e-05,0.07200000000000001,0.388,3.180721760053913e-05,3.857890039091827e-05,0.2,0.364
1530,4.556030911538271e-05,1.8452965910515016e-05,0.14400000000000002,0.404,3.3276868333438754e-05,3.995285637816066e-05,0.216,0.36
1540,4.45000196297179e-05,1.7740967883080496e-05,0.14400000000000002,0.41600000000000004,3.0737469837166454e-05,3.4650943581374956e-05,0.216,0.372
1550,4.614539344642492e-05,1.800000713587653e-05,0.14400000000000002,0.40800000000000003,3.277912224818557e-05,3.610835726625224e-05,0.2,0.368
1560,4.379769155065255e-05,1.8686689747522356e-05,0.148,0.40800000000000003,3.434197903741992e-05,3.843091512947813e-05,0.196,0.396
1570,4.479228123588297e-05,1.7425249692510405e-05,0.136,0.41600000000000004,3.015922719816328e-05,3.644019273301261e-05,0.2,0.40800000000000003
1580,4.555153709592576e-05,1.8178678942468606e-05,0.14400000000000002,0.356,2.8229828261193026e-05,3.6505066147168536e-05,0.192,0.392
1590,4.318785848779201e-05,1.651534405103239e-05,0.076,0.396,3.283346158521592e-05,3.5541496257881065e-05,0.196,0.36
1600,4.378918694407876e-05,1.7162105006223832e-05,0.14400000000000002,0.34800000000000003,2.955920887797222e-05,3.657935350989318e-05,0.22,0.38
1610,4.3781336589345784e-05,1.8138724375217444e-05,0.136,0.41200000000000003,3.0153027192428906e-05,3.595286450414867e-05,0.188,0.4
1620,4.4733339845332804e-05,1.9246369679769366e-05,0.14400000000000002,0.396,3.1762764346890724e-05,3.5167092954140184e-05,0.192,0.388
1630,4.099186612873926e-05,1.858676602594778e-05,0.076,0.356,3.0591882893370954e-05,3.739962219614646e-05,0.196,0.364
1640,4.138287441336066e-05,1.6733591038025735e-05,0.07200000000000001,0.404,3.183512890307149e-05,3.67667258078964e-05,0.192,0.396
1650,4.5933196304246786e-05,1.9480234310811913e-05,0.07200000000000001,0.4,3.0366682825145866e-05,3.6973085273532186e-05,0.188,0.38
1660,4.3524432378591195e-05,1.7970578904329265e-05,0.148,0.41200000000000003,3.1483825659307996e-05,3.6195021825908446e-05,0.196,0.368
1670,4.023303062065922e-05,1.752568696476736e-05,0.076,0.40800000000000003,3.16416029787071e-05,3.6832789176875855e-05,0.20400000000000001,0.376
1680,4.3926537036552604e-05,1.7877820919367374e-05,0.14400000000000002,0.41200000000000003,3.277251465511747e-05,3.511829970390692e-05,0.22,0.372
1690,4.166443864535173e-05,1.7956757780212483e-05,0.07200000000000001,0.404,2.9102431339819606e-05,3.4813444072246525e-05,0.192,0.404
1700,4.302925536916089e-05,1.7463739293584432e-05,0.148,0.4,3.398032372362523e-05,3.743593236405956e-05,0.216,0.364
1710,4.27666063332937e-05,1.652146914739466e-05,0.148,0.404,3.166246711222399e-05,3.448507372532075e-05,0.188,0.404
1720,4.20326018986217e-05,1.739788430220661e-05,0.128,0.41600000000000004,3.2765366878733965e-05,3.629463888181101e-05,0.192,0.364
1730,4.379540654605523e-05,1.912743144050514e-05,0.14400000000000002,0.41600000000000004,3.1959506638974395e-05,3.701446694788949e-05,0.2,0.388
1740,4.351066762576546e-05,1.8557785974652457e-05,0.148,0.396,2.887454488713225e-05,3.733723389916875e-05,0.192,0.364
1750,4.4876207088558536e-05,1.7082227284665013e-05,0.076,0.388,3.2055151623958666e-05,3.67191509266751e-05,0.188,0.364
1760,4.531655365599668e-05,1.8285705177902124e-05,0.148,0.41200000000000003,2.9455674889351915e-05,3.4953985857299146e-05,0.188,0.36
1770,4.3953608173914466e-05,1.8203496565756655e-05,0.148,0.4,3.087582632844196e-05,3.91189746185586e-05,0.192,0.376
1780,4.447585529440062e-05,1.815699117262555e-05,0.14400000000000002,0.404,3.0444941104371667e-05,3.761330526427272e-05,0.188,0.372
1790,4.393821255390672e-05,1.946967037018797e-05,0.07200000000000001,0.384,3.106167903232502e-05,3.630303881705789e-05,0.196,0.392
1800,4.244940440654651e-05,1.7481916194412584e-05,0.076,0.4,3.1027522665184204e-05,3.741528161181694e-05,0.192,0.364
1810,4.3988369879077765e-05,1.9444269046636497e-05,0.14400000000000002,0.404,2.9518861196959795e-05,3.870114015511238e-05,0.196,0.4
1820,4.185036203330197e-05,1.8278518456894014e-05,0.076,0.404,2.946384310180815e-05,3.742279641967282e-05,0.212,0.364
1830,4.140332068391529e-05,1.828324163028616e-05,0.07200000000000001,0.372,2.903075809654382e-05,3.875753437370621e-05,0.184,0.372
1840,4.2342505142478176e-05,1.847644649204033e-05,0.14400000000000002,0.4,3.066853118901344e-05,3.719833935500951e-05,0.196,0.4
1850,4.1495781491695224e-05,2.0248773942855577e-05,0.14400000000000002,0.404,3.08846837532413e-05,3.859981457581622e-05,0.188,0.4
1860,4.570098390104901e-05,1.8131964145901893e-05,0.14400000000000002,0.34800000000000003,2.8414727146366312e-05,3.675402336966062e-05,0.188,0.368
1870,4.0465015647281796e-05,1.7638112424727855e-05,0.076,0.384,2.7544358108533982e-05,3.926490111486663e-05,0.188,0.36
1880,4.1888009717310184e-05,1.6905806727260862e-05,0.14400000000000002,0.396,2.847318264021158e-05,3.786018528907372e-05,0.192,0.372
1890,4.018897179392527e-05,2.0169560391977698e-05,0.14400000000000002,0.4,3.0209866834760277e-05,3.9681956913301603e-05,0.22,0.4
1900,4.159528466712132e-05,1.8954162765408873e-05,0.07200000000000001,0.34800000000000003,3.049724076494276e-05,3.726525360317418e-05,0.188,0.4
1910,4.494119625018123e-05,1.9286413586407256e-05,0.07200000000000001,0.388,3.128301783764524e-05,3.973600661611755e-05,0.184,0.364
1920,4.269415022418853e-05,1.5998205782283058e-05,0.14400000000000002,0.396,3.142928175571993e-05,3.6326490819367806e-05,0.192,0.36
1930,4.151876532617245e-05,1.7213269234154505e-05,0.14400000000000002,0.34800000000000003,2.9332881850519606e-05,3.827060465230051e-05,0.22,0.372
1940,4.2438238334541124e-05,1.916598499339474e-05,0.14,0.396,3.060436653757914e-05,3.9778447616119284e-05,0.20400000000000001,0.376
1950,4.371510817353214e-05,1.8358461019471184e-05,0.148,0.396,3.0670230596632293e-05,3.624969839820415e-05,0.192,0.396
1960,4.4360652730559926e-05,1.8479760713067154e-05,0.148,0.396,2.9093958496643005e-05,3.8775925517539324e-05,0.212,0.404
